### 人工智能基础课程评价

人工智能基础是一门涵盖机器学习、深度学习、搜索和AI系统等内容的导论课程，适合对AI领域感兴趣的学生。课程内容广泛但不深入，任务量适中，考核方式包括平时作业、期中考试、期末考试和大作业。不同老师的授课风格和课程设计差异较大，以下是本学期开课老师的评价排序：

#### 1. 仉尚航 (zsh)
- **给分**：较好，通常在90-95分之间。
- **任务量**：中等，包括7个lab和两个大作业（国标麻将和房价预测）。Lab任务量适中，但大作业的文档和引导不够详细。
- **课程难度**：中等，需要一定的自学能力，特别是大作业部分。
- **教学质量**：中规中矩，课程体系较为混乱，但老师备课认真，会结合科研实践讲解内容。
- **其他**：课程初创不久，仍在调整中，整体体验尚可。

#### 2. 王乐业 (wly)
- **给分**：较好，但期末考试难度较大，可能影响最终分数。
- **任务量**：适中，9次小作业和一个国标麻将大作业。部分作业质量参差不齐，文档不够清晰。
- **课程难度**：中等偏上，期末考试为不定项选择题，考察内容灵活。
- **教学质量**：PPT不适合自学，部分内容逻辑关系不清晰，但上课不签到，适合自学能力强的学生。
- **其他**：大作业排名运气成分较大，但最终分数差距不大。

#### 3. 李戈 (lg)
- **给分**：较好，通常在85-90分之间。
- **任务量**：适中，具体任务量信息较少，但整体评价较为正面。
- **课程难度**：中等，适合无竞赛基础的学生。
- **教学质量**：具体信息较少，但学生反馈较为正面。
- **其他**：适合对AI感兴趣但不想过于深入的学生。

#### 4. 董豪 (dh)
- **给分**：一般，存在向下调分的情况，分数区间为80-95分。
- **任务量**：较少，显著少于AI引论，但作业和考试较为简单。
- **课程难度**：中等，期中期末考试为选择题，内容偏背诵。
- **教学质量**：课程设计草率，进度控制不佳，作业和实验报告质量参差不齐。
- **其他**：学生反馈较为负面，课程体验较差，不推荐非必修学生选课。

### 总结
- **推荐老师**：仉尚航和王乐业的课程体验相对较好，适合希望系统学习AI基础的学生。
- **避雷老师**：董豪的课程设计问题较多，体验较差，建议避免。
- **自学建议**：如果课程体验不佳，可以参考CS231n等在线课程自学AI内容。
